customer_id,age,tenure,number_of_products,has_card,is_active,has_complained,satisfaction_score,points_earned,credit_score,balance,salary,has_churned,is_female,geography,cardtype,clv_estimated,age_bucket,credit_bucket,balance_bucket,salary_bucket,clv_bucket,churn_risk
15634602,42,2,1,1,1,1,2,464,619,0.00,101348.88,1,1,France,Diamond,912.13992,Adult,Medium,Zero,Medium,Low,Churned
15647311,41,1,1,0,1,1,3,456,608,83807.86,112542.58,0,1,Spain,Diamond,2351.41268,Adult,Medium,Medium,Medium,Low,High Risk
15619304,42,8,3,1,0,1,3,377,502,159660.80,113931.57,1,1,France,Diamond,17445.62439,Adult,Low,High,Medium,High,Churned
15701354,39,1,2,0,0,0,5,350,699,0.00,93826.63,0,1,France,Gold,562.95978,Adult,Medium,Zero,Medium,Low,Medium Risk
15737888,43,2,1,1,1,0,5,425,850,125510.82,79084.10,0,1,Spain,Gold,4477.08150,Adult,High,Medium,Medium,Medium,Medium Risk
15574012,44,8,2,1,0,1,5,484,645,113755.78,149756.71,1,0,Spain,Diamond,14281.45137,Adult,Medium,Medium,Medium,High,Churned
15592531,50,7,2,1,1,0,2,206,822,0.00,10062.80,0,0,France,Silver,241.50720,Middle,High,Zero,Low,Low,High Risk
15656148,29,4,4,1,0,1,2,282,376,115046.74,119346.88,1,1,Germany,Diamond,7542.54020,Adult,Low,Medium,Medium,Medium,Churned
15792365,44,4,2,0,1,0,3,251,501,142051.07,74940.50,0,0,France,Gold,8226.66100,Adult,Low,Medium,Medium,Medium,Medium Risk
15592389,27,2,1,1,1,0,3,342,684,134603.88,71725.73,0,0,France,Gold,4683.64797,Adult,Medium,Medium,Medium,Medium,Medium Risk
15767821,31,6,2,0,0,0,3,264,528,102016.72,80181.12,0,0,France,Gold,8824.97392,Adult,Low,Medium,Medium,Medium,Medium Risk
15737173,24,3,2,1,0,0,3,249,497,0.00,76390.01,0,0,Spain,Gold,916.68012,Adult,Low,Zero,Medium,Low,Medium Risk
