customer_id,age,tenure,credit_score,balance,salary,number_of_products,has_card,is_active,has_complained,satisfaction_score,points_earned,clv_estimated,is_female,geography,cardtype,age_bucket,credit_bucket,balance_bucket,clv_bucket,churn_risk,has_churned,rf_churn_prob,rf_predicted_churn
15634602,42,2,619,0.0,101348.88,1,1,1,1,2,464,912.13992,1,France,Diamond,Adult,Medium,Zero,Low,Churned,1,0.6170342446558875,1
15647311,41,1,608,83807.86,112542.58,1,0,1,1,3,456,2351.41268,1,Spain,Diamond,Adult,Medium,Medium,Low,High Risk,0,0.48393115073420345,0
15619304,42,8,502,159660.8,113931.57,3,1,0,1,3,377,17445.62439,1,France,Diamond,Adult,Low,High,High,Churned,1,0.8719142725243194,1
15701354,39,1,699,0.0,93826.63,2,0,0,0,5,350,562.95978,1,France,Gold,Adult,Medium,Zero,Low,Medium Risk,0,0.26511738775468485,0
15737888,43,2,850,125510.82,79084.1,1,1,1,0,5,425,4477.0815,1,Spain,Gold,Adult,High,Medium,Medium,Medium Risk,0,0.5224577580722325,1
15574012,44,8,645,113755.78,149756.71,2,1,0,1,5,484,14281.45137,0,Spain,Diamond,Adult,Medium,Medium,High,Churned,1,0.6419638793100588,1
15592531,50,7,822,0.0,10062.8,2,1,1,0,2,206,241.5072,0,France,Silver,Middle,High,Zero,Low,High Risk,0,0.30285431973666127,0
15656148,29,4,376,115046.74,119346.88,4,1,0,1,2,282,7542.5402,1,Germany,Diamond,Adult,Low,Medium,Medium,Churned,1,0.7935169461556907,1
15792365,44,4,501,142051.07,74940.5,2,0,1,0,3,251,8226.661,0,France,Gold,Adult,Low,Medium,Medium,Medium Risk,0,0.45091389884759847,0
15592389,27,2,684,134603.88,71725.73,1,1,1,0,3,342,4683.64797,0,France,Gold,Adult,Medium,Medium,Medium,Medium Risk,0,0.20262183362820974,0
15767821,31,6,528,102016.72,80181.12,2,0,0,0,3,264,8824.97392,0,France,Gold,Adult,Low,Medium,Medium,Medium Risk,0,0.24138869219435777,0
15737173,24,3,497,0.0,76390.01,2,1,0,0,3,249,916.68012,0,Spain,Gold,Adult,Low,Zero,Low,Medium Risk,0,0.08292418326267102,0
15632264,34,10,476,0.0,26260.98,2,1,0,0,3,119,866.61234,1,France,Silver,Adult,Low,Zero,Low,Medium Risk,0,0.16830038309440787,0
15691483,25,5,549,0.0,190857.79,2,0,0,0,3,549,3435.44022,1,France,Platinum,Adult,Low,Zero,Medium,Medium Risk,0,0.18950895575831922,0
15600882,35,7,635,0.0,65951.65,2,1,1,0,2,318,1582.8396,1,Spain,Gold,Adult,Medium,Zero,Low,Low Risk,0,0.12201572384531265,0
15643966,45,3,616,143129.41,64327.26,2,0,1,0,5,308,6497.10352,0,Germany,Gold,Adult,Medium,Medium,Medium,Medium Risk,0,0.5133482281817738,1
15737452,58,1,653,132602.88,5097.67,1,1,0,0,2,163,2682.64362,0,Germany,Silver,Middle,Medium,Medium,Low,Churned,1,0.872335295116056,1
15788218,24,9,549,0.0,14406.41,2,1,1,0,3,544,432.1923,1,Spain,Silver,Adult,Low,Zero,Low,Low Risk,0,0.13596931479709742,0
15661507,45,6,587,0.0,158684.81,1,0,0,0,3,732,3332.38101,0,Spain,Platinum,Adult,Low,Zero,Medium,Medium Risk,0,0.7919725959701956,1
15568982,24,6,726,0.0,54724.03,2,1,1,0,4,477,1149.20463,1,France,Gold,Adult,Medium,Zero,Low,Low Risk,0,0.08326344200965283,0
15577657,41,8,732,0.0,170886.17,2,1,1,0,3,568,4613.92659,0,France,Platinum,Adult,Medium,Zero,Medium,Medium Risk,0,0.15589692603995953,0
15597945,32,8,636,0.0,138555.46,2,1,0,0,2,336,3740.99742,1,Spain,Diamond,Adult,Medium,Zero,Medium,Medium Risk,0,0.15629502876838805,0
15699309,38,4,510,0.0,118913.53,1,1,0,1,2,887,1783.70295,1,Spain,Diamond,Adult,Low,Zero,Low,Churned,1,0.4947453258379898,0
15725737,46,3,669,0.0,8487.75,2,0,1,0,2,665,101.853,0,France,Silver,Middle,Medium,Zero,Low,High Risk,0,0.21506463247169932,0
15625047,38,5,846,0.0,187616.16,1,1,1,0,3,225,3377.09088,1,France,Platinum,Adult,High,Zero,Medium,Medium Risk,0,0.40859071197293184,0
15738191,25,3,577,0.0,124508.29,2,0,1,0,3,659,1494.09948,0,France,Platinum,Adult,Low,Zero,Low,Low Risk,0,0.056116565224303035,0
15736816,36,2,756,136815.64,170041.95,1,1,1,0,5,236,5634.84675,0,Germany,Diamond,Adult,High,Medium,Medium,Medium Risk,0,0.25610925564311265,0
15700772,44,9,571,0.0,38433.35,2,0,0,0,4,448,1153.0005,0,France,Platinum,Adult,Low,Zero,Low,Medium Risk,0,0.32915698009723565,0
15728693,43,3,574,141349.43,100187.43,1,1,1,0,5,499,6856.22636,1,Germany,Diamond,Adult,Low,Medium,Medium,Medium Risk,0,0.5645834025120159,1
15656300,29,0,411,59697.17,53483.21,2,1,1,0,2,343,757.42133,0,France,Gold,Adult,Low,Medium,Low,Low Risk,0,0.18431574732353387,0
15589475,39,3,591,0.0,140469.38,3,1,0,1,3,298,1685.63256,1,Spain,Diamond,Adult,Low,Zero,Low,Churned,1,0.617523167397079,1
15706552,36,7,533,85311.7,156731.91,1,0,1,0,5,628,10586.50184,0,France,Silver,Adult,Low,Medium,High,Medium Risk,0,0.21643126064694956,0
15750181,41,9,553,110112.54,81898.81,2,0,0,0,3,611,13468.2183,0,Germany,Gold,Adult,Low,Medium,High,High Risk,0,0.4567847089194532,0
15659428,42,6,520,0.0,34410.55,2,1,1,0,2,922,722.62155,1,Spain,Silver,Adult,Low,Zero,Low,Medium Risk,0,0.19729342622345705,0
15732963,29,9,722,0.0,142033.07,2,1,1,0,5,276,4260.9921,1,Spain,Platinum,Adult,Medium,Zero,Medium,Low Risk,0,0.11091892278182656,0
15794171,45,0,475,134264.04,27822.99,1,1,0,1,1,877,1426.10937,1,France,Diamond,Adult,Low,Medium,Low,Churned,1,0.8575331849570698,1
15788448,31,3,490,145260.23,114066.77,1,0,1,0,4,471,7179.21044,0,Spain,Silver,Adult,Low,Medium,Medium,Medium Risk,0,0.22224223983709185,0
15729599,33,7,804,76548.6,98453.45,1,0,1,0,2,994,8486.7708,0,Spain,Gold,Adult,High,Medium,Medium,Medium Risk,0,0.14527643441549778,0
15717426,36,7,850,0.0,40812.9,1,1,1,0,3,944,979.5096,0,France,Gold,Adult,High,Zero,Low,Medium Risk,0,0.2706771563831796,0
15585768,41,6,582,70349.48,178074.04,2,0,1,0,5,419,8664.01844,0,Germany,Gold,Adult,Low,Medium,Medium,Medium Risk,0,0.2752416070384262,0
15619360,40,4,472,0.0,70154.22,1,1,0,0,4,545,1052.3133,0,Spain,Diamond,Adult,Low,Zero,Low,Medium Risk,0,0.5368587156790459,1
15738148,51,8,465,122522.32,181297.65,1,0,0,1,5,828,15922.04535,1,France,Silver,Middle,Low,Medium,High,Churned,1,0.848956356801997,1
15687946,61,2,556,117419.35,94153.83,1,1,1,0,3,789,4369.96497,1,France,Platinum,Senior,Low,Medium,Medium,Medium Risk,0,0.6075632128676052,1
15755196,49,2,834,131394.56,194365.76,1,0,0,1,2,567,5691.12864,1,France,Gold,Middle,High,Medium,Medium,Churned,1,0.8225244503756565,1
15684171,61,5,660,155931.11,158338.39,1,1,1,0,1,884,12205.95762,1,Spain,Platinum,Senior,Medium,High,High,Medium Risk,0,0.6379240407796598,1
15754849,32,4,776,109421.13,126517.46,2,1,1,0,1,296,7368.8184,1,Germany,Silver,Adult,High,Medium,Medium,Medium Risk,0,0.3362174445959722,0
15602280,27,9,829,112045.67,119708.21,1,1,1,1,3,779,14795.8133,1,Germany,Diamond,Adult,High,Medium,High,Churned,1,0.3939797148262884,0
15771573,39,9,637,137843.8,117622.8,1,1,1,1,1,730,17313.064,1,Germany,Silver,Adult,Medium,Medium,High,Churned,1,0.5714844847489633,1
15766205,38,2,550,103391.38,90878.13,1,0,1,0,3,960,3919.64457,0,Germany,Diamond,Adult,Low,Medium,Medium,Medium Risk,0,0.28926171074783147,0
15771873,37,2,776,103769.22,194099.12,2,1,0,0,1,268,4859.96868,1,Germany,Silver,Adult,High,Medium,Medium,High Risk,0,0.345222985146684,0
15616550,44,10,698,116363.37,198059.16,2,1,0,0,4,829,19335.92298,0,Germany,Silver,Adult,Medium,Medium,High,High Risk,0,0.593969373392711,1
15768193,36,5,585,146050.97,86424.57,2,0,0,0,3,665,10318.70046,0,Germany,Silver,Adult,Low,Medium,High,Medium Risk,0,0.2587966201397809,0
15683553,33,5,788,0.0,116978.19,2,0,0,0,3,982,2105.60742,1,France,Gold,Adult,High,Zero,Low,Medium Risk,0,0.11675507676299453,0
15702298,41,8,655,125561.97,164040.94,1,0,0,1,3,343,15729.68268,0,Germany,Silver,Adult,Medium,Medium,High,Churned,1,0.6100493869548944,1
15569590,42,1,601,98495.72,40014.76,1,1,0,1,2,225,2210.00296,0,Germany,Diamond,Adult,Medium,Medium,Low,Churned,1,0.61606298244351,1
15760861,43,1,619,125211.92,113410.49,1,1,1,0,5,657,3184.70134,0,France,Silver,Adult,Medium,Medium,Medium,Medium Risk,0,0.6179006787561391,1
15630053,45,5,656,127864.4,87107.57,1,1,0,0,2,221,9239.80026,0,France,Platinum,Adult,Medium,Medium,Medium,Medium Risk,0,0.7132456633476836,1
15647091,19,0,725,75888.2,45613.75,1,0,0,0,2,406,895.72325,0,Germany,Platinum,Youth,Medium,Medium,Low,Medium Risk,0,0.281191557718426,0
15623944,66,4,511,0.0,1643.11,1,1,0,1,5,549,24.64665,1,Spain,Silver,Senior,Low,Zero,Low,Churned,1,0.7749718692028909,1
15804771,51,4,614,40685.92,46775.28,1,1,1,0,4,954,2735.9252,0,France,Platinum,Middle,Medium,Low,Low,High Risk,0,0.5659281078187107,1
15651280,35,5,742,136857.0,84509.57,1,0,0,0,4,823,9732.59226,0,Germany,Gold,Adult,Medium,Medium,Medium,Medium Risk,0,0.3614646200533319,0
15773469,27,9,687,152328.88,126494.82,2,0,0,0,5,769,19027.7326,1,Germany,Diamond,Adult,Medium,High,High,Medium Risk,0,0.2958870422589551,0
15702014,33,1,555,56084.69,178798.13,2,0,0,0,5,481,2194.48258,0,Spain,Platinum,Adult,Low,Medium,Low,Medium Risk,0,0.16836675959530872,0
15751208,56,8,684,78707.16,99398.36,1,1,1,0,4,903,9767.40012,0,Spain,Silver,Middle,Medium,Medium,Medium,High Risk,0,0.42026042350185705,0
15592461,26,4,603,109166.37,92840.67,1,1,1,0,3,882,6850.92855,0,Germany,Platinum,Adult,Medium,Medium,Medium,Medium Risk,0,0.17782693629740515,0
15789484,36,6,751,169831.46,27758.36,2,1,1,1,5,379,12471.12776,1,Germany,Gold,Adult,High,High,High,High Risk,0,0.2884665766980088,0
15696061,34,1,581,101633.04,110431.51,1,1,0,1,3,469,2695.24986,1,Germany,Platinum,Adult,Low,Medium,Low,High Risk,0,0.42971134452293563,0
15641582,43,10,735,123180.01,196673.28,2,1,1,1,3,683,20040.01934,0,Germany,Platinum,Adult,Medium,Medium,High,High Risk,0,0.406450062344495,0
15638424,35,5,661,150725.53,113656.85,2,0,1,1,1,770,11089.3551,1,Germany,Gold,Adult,Medium,High,High,High Risk,0,0.2835005073269311,0
15755648,21,8,675,98373.26,18203.0,1,1,0,0,5,985,9345.0744,1,France,Silver,Adult,Medium,Medium,Medium,Medium Risk,0,0.3259332655340083,0
15703793,58,2,738,133745.44,28373.86,4,1,0,1,4,725,4267.72794,0,Germany,Gold,Middle,Medium,Medium,Medium,Churned,1,0.8885434307260489,1
15620344,29,6,813,0.0,33953.87,1,1,0,0,3,259,713.03127,0,France,Platinum,Adult,High,Zero,Low,Medium Risk,0,0.3855754224039022,0
15812518,37,0,657,163607.18,44203.55,1,0,1,0,2,979,1768.68245,1,Spain,Gold,Adult,Medium,High,Low,Medium Risk,0,0.31172522857696594,0
15779052,25,5,604,157780.84,58426.81,2,1,1,0,2,988,10518.53298,1,Germany,Silver,Adult,Medium,High,High,Medium Risk,0,0.20820929547957787,0
15770811,36,9,519,0.0,145562.4,2,0,1,0,2,833,4366.872,0,France,Platinum,Adult,Low,Zero,Medium,Low Risk,0,0.08242611199949917,0
15780961,21,1,735,178718.19,22388.0,2,1,0,0,1,527,3708.6918,1,France,Platinum,Adult,Medium,High,Medium,Medium Risk,0,0.33257443503368495,0
15614049,55,8,664,0.0,139161.64,2,1,1,0,5,220,3757.36428,0,France,Silver,Middle,Medium,Zero,Medium,High Risk,0,0.3754042123071845,0
15662085,32,9,678,0.0,148210.64,1,1,1,0,4,983,4446.3192,1,France,Gold,Adult,Medium,Zero,Medium,Medium Risk,0,0.2284063601371089,0
15575185,33,5,757,77253.22,194239.63,1,0,1,0,3,582,8131.50654,0,Spain,Silver,Adult,High,Medium,Medium,Medium Risk,0,0.25997612980908885,0
15803136,41,10,416,122189.66,98301.61,2,1,0,0,3,281,16684.81573,1,Germany,Silver,Adult,Low,Medium,High,Medium Risk,0,0.5287851159795149,1
15706021,34,1,665,96645.54,171413.66,2,0,0,0,3,798,2961.39276,1,France,Diamond,Adult,Medium,Medium,Low,Medium Risk,0,0.2965574951576368,0
15663706,32,2,777,0.0,136458.19,1,1,0,1,5,917,1228.12371,1,France,Silver,Adult,High,Zero,Low,Churned,1,0.4647664967878788,0
15641732,36,3,543,0.0,26019.59,2,0,0,0,2,255,312.23508,1,France,Diamond,Adult,Low,Zero,Low,Medium Risk,0,0.22384095106566815,0
15701164,34,4,506,90307.62,159235.29,1,1,1,0,4,511,6903.91035,1,France,Silver,Adult,Low,Medium,Medium,Medium Risk,0,0.23696941217930095,0
15738751,46,4,493,0.0,1907.66,2,1,0,0,1,498,28.6149,1,France,Silver,Middle,Low,Zero,Low,High Risk,0,0.42777990669261434,0
15805254,75,10,652,0.0,114675.75,2,1,1,0,5,651,3784.29975,1,Spain,Diamond,Senior,Medium,Zero,Medium,Medium Risk,0,0.24051989639617596,0
15762418,22,3,750,121681.82,128643.35,1,1,0,1,2,852,6410.993,0,Spain,Silver,Adult,High,Medium,Medium,Churned,1,0.36488023995740393,0
15625759,30,9,729,0.0,151869.35,2,1,0,0,1,807,4556.0805,0,France,Diamond,Adult,Medium,Zero,Medium,Medium Risk,0,0.07601948814193063,0
15622897,46,4,646,0.0,93251.42,3,1,0,1,3,470,1398.7713,1,France,Platinum,Middle,Medium,Zero,Low,Churned,1,0.7434095793508929,1
15767954,28,3,635,81623.67,156791.36,2,1,1,0,1,659,5146.44312,1,Germany,Diamond,Adult,Medium,Medium,Medium,Medium Risk,0,0.16826762613370158,0
15757535,44,5,647,0.0,174205.22,3,1,1,1,3,752,3135.69396,1,Spain,Diamond,Adult,Medium,Zero,Medium,Churned,1,0.6751916967798266,1
15731511,45,7,808,118626.55,147132.46,2,1,0,0,1,559,13021.30304,0,France,Silver,Adult,High,Medium,High,Medium Risk,0,0.6427620000798561,1
15809248,36,10,524,0.0,109614.57,2,1,0,0,2,375,3617.28081,1,France,Gold,Adult,Low,Zero,Medium,Medium Risk,0,0.21407340278310166,0
15640635,29,8,769,0.0,172290.61,2,1,1,0,2,411,4651.84647,0,France,Diamond,Adult,High,Zero,Medium,Low Risk,0,0.06599397898669902,0
15676966,42,4,730,0.0,85982.47,2,0,1,0,4,722,1289.73705,0,Spain,Diamond,Adult,Medium,Zero,Low,Medium Risk,0,0.13442100987015007,0
15699461,35,10,515,176273.95,121277.78,1,0,1,0,1,231,23392.30124,0,Spain,Gold,Adult,Low,High,High,Medium Risk,0,0.28982524890705863,0
15738721,41,9,773,102827.44,64595.25,1,0,1,0,5,488,12220.6015,0,Spain,Diamond,Adult,High,Medium,High,Medium Risk,0,0.2897120522944969,0
15693683,29,8,814,97086.4,197276.13,2,1,1,0,2,965,14064.23151,0,Germany,Gold,Adult,High,Medium,High,Medium Risk,0,0.17829207774168127,0
15604348,22,8,710,0.0,99645.04,2,0,0,0,4,289,2690.41608,0,Spain,Silver,Adult,Medium,Zero,Low,Medium Risk,0,0.066372682331732,0
15633059,34,9,413,0.0,6534.18,2,0,0,0,1,449,196.0254,0,France,Platinum,Adult,Low,Zero,Low,Medium Risk,0,0.12709630677476227,0
15808582,40,6,665,0.0,161848.03,1,1,1,0,2,651,3398.80863,1,France,Silver,Adult,Medium,Zero,Medium,Medium Risk,0,0.47850534676774364,0
15743192,44,6,623,0.0,167162.43,2,0,0,0,2,520,3510.41103,1,France,Diamond,Adult,Medium,Zero,Medium,Medium Risk,0,0.43412350326495436,0
15580146,31,9,738,82674.15,41970.72,1,1,0,0,4,234,9526.5366,0,France,Diamond,Adult,Medium,Medium,Medium,Medium Risk,0,0.2616623165429332,0
15776605,36,7,528,0.0,60536.56,2,1,0,0,5,458,1452.87744,0,Spain,Silver,Adult,Low,Zero,Low,Medium Risk,0,0.07928744680488077,0
15804919,65,1,670,0.0,177655.68,1,1,1,1,2,915,1065.93408,1,Spain,Gold,Senior,Medium,Zero,Low,Churned,1,0.5213185709712911,1
15613854,46,4,622,107073.27,30984.59,2,1,1,1,3,299,5818.43235,1,Spain,Gold,Middle,Medium,Medium,Medium,Churned,1,0.6496807968007394,1
15599195,32,1,582,88938.62,10054.53,1,1,1,0,4,838,1839.09958,0,Germany,Gold,Adult,Low,Medium,Low,Medium Risk,0,0.18779992775735121,0
15812878,36,2,785,99806.85,36976.52,1,0,1,0,5,786,3326.99418,1,Germany,Platinum,Adult,High,Medium,Medium,Medium Risk,0,0.31562406773968354,0
15602312,33,5,605,150092.8,71862.79,1,0,0,0,3,509,10299.09822,0,Spain,Diamond,Adult,Medium,High,High,Medium Risk,0,0.3172010751760307,0
15744689,35,9,479,92833.89,99449.86,1,1,0,1,3,328,12266.8848,0,Germany,Diamond,Adult,Low,Medium,High,Churned,1,0.37925270996878757,0
15803526,30,3,685,90536.81,63082.88,1,0,1,0,4,347,4378.46696,0,Germany,Silver,Adult,Medium,Medium,Medium,Medium Risk,0,0.14797643981967892,0
15665790,39,7,538,108055.1,27231.26,2,1,0,0,5,534,9297.95824,0,Germany,Silver,Adult,Low,Medium,Medium,High Risk,0,0.35150970898109035,0
15715951,42,2,562,100238.35,86797.41,1,0,0,0,5,709,3788.32719,0,France,Platinum,Adult,Low,Medium,Medium,Medium Risk,0,0.5970816296770011,1
15591100,36,9,675,106190.55,22994.32,1,0,1,0,4,749,11308.8846,0,Spain,Silver,Adult,Medium,Medium,High,Medium Risk,0,0.23659393845512156,0
15609618,28,9,721,154475.54,101300.94,2,0,1,1,5,541,18486.5822,0,Germany,Platinum,Adult,Medium,High,High,Churned,1,0.2555532730046206,0
15675522,30,9,628,132351.29,74169.13,2,1,1,0,2,736,15460.2029,1,Germany,Gold,Adult,Medium,Medium,High,Medium Risk,0,0.24807009437030067,0
15705512,37,6,668,167864.4,115638.29,1,1,0,0,4,529,14178.91209,1,Germany,Silver,Adult,Medium,High,High,Medium Risk,0,0.44156090014140437,0
15698028,41,1,506,0.0,31766.3,2,1,0,0,4,594,190.5978,1,France,Gold,Adult,Low,Zero,Low,Medium Risk,0,0.2524729125498109,0
15661670,31,8,524,107818.63,199725.39,1,1,0,1,1,462,15096.26223,1,Germany,Silver,Adult,Low,Medium,High,Churned,1,0.5326989008656691,1
15600781,34,4,699,185173.81,120834.48,2,1,0,0,3,429,11071.2077,0,Germany,Platinum,Adult,Medium,High,High,Medium Risk,0,0.22688868107638632,0
15682472,34,8,828,129433.34,38131.77,2,0,0,0,4,370,12678.55839,0,France,Silver,Adult,High,Medium,High,Medium Risk,0,0.2222039390655005,0
15580203,39,6,674,120193.42,100130.95,1,0,0,0,1,510,10516.28935,0,Spain,Platinum,Adult,Medium,Medium,High,Medium Risk,0,0.42565066086942294,0
15690673,39,6,656,0.0,141069.88,2,1,0,0,4,638,2962.46748,1,France,Diamond,Adult,Medium,Zero,Low,Medium Risk,0,0.17933149314414526,0
15760085,48,10,684,126384.42,198129.36,1,1,1,0,1,462,20440.55508,1,Germany,Gold,Middle,Medium,Medium,High,High Risk,0,0.653808704733239,1
15779659,28,3,625,0.0,183646.41,1,0,0,0,4,718,2203.75692,1,France,Gold,Adult,Medium,Zero,Low,Medium Risk,0,0.45038579937620654,0
15627360,42,9,432,152603.45,110265.24,1,1,0,1,3,437,18568.3022,0,France,Diamond,Adult,Low,High,High,Churned,1,0.6549465604377857,1
15671137,52,1,549,0.0,8636.05,1,0,1,1,4,485,51.8163,1,France,Diamond,Middle,Low,Zero,Low,Churned,1,0.7369994705764539,1
15782688,56,0,625,148507.24,46824.08,1,1,0,1,3,410,1625.54464,0,Germany,Platinum,Middle,Medium,Medium,Low,Churned,1,0.8894720645884959,1
15575492,41,7,828,0.0,171378.77,2,1,0,0,2,666,4113.09048,1,France,Platinum,Adult,High,Zero,Medium,Medium Risk,0,0.31877878754522837,0
15591607,24,9,770,101827.07,167256.35,1,1,0,0,4,730,15200.3975,0,France,Gold,Adult,High,Medium,High,Medium Risk,0,0.3150641529684892,0
